Resolution,Megapixels,OpenCV (CPU + transfer) (ms),NPP (GPU optimized) (ms),Speedup
320x180,0.0576,0.2296905517578125,0.06877059200033546,3.3399530973456226
640x360,0.2304,0.4540126323699951,0.07155116802081465,6.3452861068308515
800x600,0.48,0.7831604480743408,0.07699648012965918,10.171379870294436
1280x720,0.9216,1.2079567909240723,0.08259100791811944,14.625766428733238
1920x1080,2.0736,1.9523248672485352,0.1275900159701705,15.301548890039896
2560x1440,3.6864,3.0483458042144775,0.18343043212592602,16.61853907710238
3840x2160,8.2944,7.9404377937316895,0.32863455939292907,24.161907403772997
5120x2880,14.7456,11.63319206237793,0.5259370877444745,22.11898026105718
